feature,item_name
item_LATANOPROST,LATANOPROST
item_LEVETIRACETAM,LEVETIRACETAM
item_DEXAMETHASONE,DEXAMETHASONE
item_CERAVE,CERAVE
item_CLINDAMYCIN PALMITATE HCL,CLINDAMYCIN PALMITATE HCL
item_ALBUTEROL SULFATE HFA,ALBUTEROL SULFATE HFA
item_ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE
item_ACYCLOVIR,ACYCLOVIR
item_ADDERALL XR,ADDERALL XR
item_METFORMIN HYDROCHLORIDE E,METFORMIN HYDROCHLORIDE E
item_CETIRIZINE HCL CHILDRENS,CETIRIZINE HCL CHILDRENS
item_HYDROCORTISONE,HYDROCORTISONE
item_OPTICHAMBER DIAMOND,OPTICHAMBER DIAMOND
item_CHILDRENS IBUPROFEN,CHILDRENS IBUPROFEN
item_VENTOLIN HFA,VENTOLIN HFA
item_DIVALPROEX SODIUM DR,DIVALPROEX SODIUM DR
item_EPIPEN-JR 2-PAK,EPIPEN-JR 2-PAK
item_OPTICHAMBER DIAMOND/SMALL,OPTICHAMBER DIAMOND/SMALL
item_LACTULOSE,LACTULOSE
item_RA HYDROCORTISONE PLUS 12,RA HYDROCORTISONE PLUS 12
item_CONCERTA,CONCERTA
item_LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM
item_MOXIFLOXACIN HYDROCHLORID,MOXIFLOXACIN HYDROCHLORID
item_VALVED HOLDING CHAMBER,VALVED HOLDING CHAMBER
item_GNP CHILDRENS IBUPROFEN,GNP CHILDRENS IBUPROFEN
item_DEXMETHYLPHENIDATE HCL ER,DEXMETHYLPHENIDATE HCL ER
item_FOCALIN XR,FOCALIN XR
item_DEXMETHYLPHENIDATE HYDROC,DEXMETHYLPHENIDATE HYDROC
item_CVS PAIN & FEVER CHILDREN,CVS PAIN & FEVER CHILDREN
item_FEXOFENADINE HYDROCHLORID,FEXOFENADINE HYDROCHLORID
item_ASMANEX HFA,ASMANEX HFA
item_FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE
item_OPTICHAMBER DIAMOND/LARGE,OPTICHAMBER DIAMOND/LARGE
item_S098XX,S098XX
item_S12500,S12500
item_S129XX,S129XX
item_S12501,S12501
item_S2242X,S2242X
item_S12591,S12591
item_S90851,S90851
item_H6091,H6091
item_F913,F913
item_R69,R69
item_Z043,Z043
item_L509,L509
item_Z91018,Z91018
item_R633,R633
item_R635,R635
item_R634,R634
item_L42,L42
item_B001,B001
item_B86,B86
item_S00212,S00212
item_Z283,Z283
item_S01111,S01111
item_H608X2,H608X2
item_L089,L089
item_R040,R040
item_Z62820,Z62820
item_M6281,M6281
item_J4530,J4530
item_T161XXA,T161XXA
item_S020XX,S020XX
item_S0190X,S0190X
item_S065X0,S065X0
item_S062X0,S062X0
item_S0990X,S0990X
item_G936,G936
item_S299XX,S299XX
item_S0280X,S0280X
item_S0193X,S0193X
item_S0183X,S0183X
item_I611,I611
item_R9401,R9401
item_S06360,S06360
item_R9431,R9431
item_Z4659,Z4659
item_I499,I499
item_R9402,R9402
item_R9089,R9089
item_R259,R259
item_H40051,H40051
item_Z5181,Z5181
item_I10,I10
item_G9782,G9782
item_J9809,J9809
item_I158,I158
item_I150,I150
item_H40053,H40053
item_G9389,G9389
item_S0180X,S0180X
item_S06369,S06369
item_R278,R278
item_R488,R488
item_Z98890,Z98890
item_S069X0,S069X0
item_H93299,H93299
item_M952,M952
item_M959,M959
item_R41840,R41840
item_I959,I959
item_J4521,J4521
item_J4541,J4541
item_J4531,J4531
item_J45901,J45901
item_F802,F802
item_F79,F79
item_E782,E782
item_E8881,E8881
item_S20229A,S20229A
item_S40021A,S40021A
item_F840,F840
item_S6000X,S6000X
item_M20011,M20011
item_R079,R079
item_R0789,R0789
item_H60331,H60331
item_L03032,L03032
item_H10023,H10023
item_L309,L309
item_S0083XA,S0083XA
item_J310,J310
item_S62346D,S62346D
item_S59901A,S59901A
item_S5001XA,S5001XA
item_Z20818,Z20818
item_H53043,H53043
item_J181,J181
item_J168,J168
item_H6693,H6693
item_R229,R229
item_L0103,L0103
item_H6502,H6502
item_M25532,M25532
item_S60212A,S60212A
item_99177,99177
item_99053,99053
item_12001,12001
item_72141,72141
item_99222,99222
item_72146,72146
item_99231,99231
item_00670,00670
item_95870,95870
item_22551,22551
item_95939,95939
item_69990,69990
item_88311,88311
item_20931,20931
item_72040,72040
item_22845,22845
item_95938,95938
item_95941,95941
item_99408,99408
item_H0020,H0020
item_96139,96139
item_96138,96138
item_96130,96130
item_96131,96131
item_90647,90647
item_71045,71045
item_70150,70150
item_85007,85007
item_92507,92507
item_86008,86008
item_86003,86003
item_82705,82705
item_96127,96127
item_85013,85013
item_S9083,S9083
item_12011,12011
item_83036,83036
item_30901,30901
item_97110,97110
item_90832,90832
item_69200,69200
item_65220,65220
item_86765,86765
item_86255,86255
item_86317,86317
item_61570,61570
item_00211,00211
item_61323,61323
item_70486,70486
item_70496,70496
item_95951,95951
item_99292,99292
item_00210,00210
item_95813,95813
item_72156,72156
item_70553,70553
item_43752,43752
item_10140,10140
item_74230,74230
item_01922,01922
item_88160,88160
item_97167,97167
item_92523,92523
item_97163,97163
item_97112,97112
item_97530,97530
item_92526,92526
item_36620,36620
item_61210,61210
item_36556,36556
item_J7644,J7644
item_J7510,J7510
item_T1017,T1017
item_96136,96136
item_96137,96137
item_97166,97166
item_H2033,H2033
item_90785,90785
item_10060,10060
item_95004,95004
item_99243,99243
item_Q0162,Q0162
item_87502,87502
item_73100,73100
